Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,bernanke20130301a.pdf,2013-03-01,Long-Term Interest Rates,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Monetary/Macroeconomics Conference: The Past and Future of Monetary Policy Sponsored by Federal Reserve Bank of San Francisco,"San Francisco, California",0,0,0
Speech,powell20130304a.pdf,2013-03-04,Ending “Too Big to Fail”,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Institute of International Bankers 2013 Washington Conference,"Washington, D.C.",0,0,0
Speech,yellen20130304a.pdf,2013-03-04,Challenges Confronting Monetary Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,2013 NABE Economic Policy Conference sponsored by the National Association for Business Economics,"Washington, D.C.",0,0,0
Testimony,powell20130307a.pdf,2013-03-07,Anti-Money Laundering and the Bank Secrecy Act,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,duke20130308a.pdf,2013-03-08,Comments on Housing and Mortgage Markets,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Mortgage Bankers Association Mid-Winter Housing Finance Conference,"Avon, Colorado",0,0,0
Speech,raskin20130322a.pdf,2013-03-22,Focusing on Low- and Moderate-Income Working Americans,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,National Community Reinvestment Coalition Annual Conference,"Washington, D.C.",0,0,0
Speech,bernanke20130325a.pdf,2013-03-25,Monetary Policy and the Global Economy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Department of Economics and STICERD (Suntory and Toyota International Centres for Economics and Related Disciplines) Public Discussion in Association with the Bank of England London School of Economics,"London, United Kingdom",0,0,0
Speech,bernanke20130404a.pdf,2013-04-04,Financial and Economic Education,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,13th Annual Redefining Investment Strategy Education (RISE) Forum,"Dayton, Ohio",0,0,0
Speech,yellen20130404a.pdf,2013-04-04,Communication in Monetary Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Society of American Business Editors and Writers 50th Anniversary Conference,"Washington, D.C.",0,0,0
Speech,bernanke20130408a.pdf,2013-04-08,Stress Testing Banks: What Have We Learned?,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“Maintaining Financial Stability: Holding a Tiger by the Tail” a Financial Markets Conference Sponsored by the Federal Reserve Bank of Atlanta,"Stone Mountain, Georgia",0,0,0
Testimony,ashton20130411a.pdf,2013-04-11,Independent Consultants,Richard M. Ashton,Deputy General Counsel Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Protection,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20130412a.pdf,2013-04-12,Creating Resilient Communities,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“Resilience and Rebuilding for Low-Income Communities: Research to Inform Policy and Practice” Federal Reserve System Community Affairs Research Conference,"Washington, D.C.",0,0,0
Testimony,alvarez20130416a.pdf,2013-04-16,Too Big to Fail,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,Subcommittee on Oversight and Investigations,Committee on Financial Services,U.S. House of Representatives
Speech,yellen20130416a.pdf,2013-04-16,"Panel Discussion on “Monetary Policy: Many Targets, Many Instruments. Where Do We Stand?”",Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,“Rethinking Macro Policy II” a conference sponsored by the International Monetary Fund,"Washington, D.C.",0,0,0
Speech,stein20130417a.pdf,2013-04-17,Regulating Large Financial Institutions,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,“Rethinking Macro Policy II” a conference sponsored by the International Monetary Fund,"Washington, D.C.",0,0,0
Speech,raskin20130418a.pdf,2013-04-18,Aspects of Inequality in the Recent Business Cycle,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,"At the ""Building a Financial Structure for a More Stable and Equitable Economy"" 22nd Annual Hyman P. Minsky Conference on the State of the U.S. and World Economies","New York, New York",0,0,0
Speech,stein20130419a.pdf,2013-04-19,Liquidity Regulation and Central Banking,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,“Finding the Right Balance” 2013 Credit Markets Symposium Sponsored by the Federal Reserve Bank of Richmond,"Charlotte, North Carolina",0,0,0
Speech,tarullo20130503a.pdf,2013-05-03,Evaluating Progress in Regulatory Reforms to Promote Financial Stability,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Peterson Institute for International Economics,"Washington, D.C.",0,0,0
Speech,duke20130509a.pdf,2013-05-09,A View from the Federal Reserve Board: The Mortgage Market and Housing Conditions,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Housing Policy Executive Council,"Washington, D.C.",0,0,0
Speech,bernanke20130510a.pdf,2013-05-10,Monitoring the Financial System,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,49th Annual Conference on Bank Structure and Competition sponsored by the Federal Reserve Bank of Chicago,"Chicago, Illinois",0,0,0
Testimony,gibson20130515a.pdf,2013-05-15,Cross-Border Resolution,Michael S. Gibson,Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on National Security and International Trade and Finance,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,raskin20130516a.pdf,2013-05-16,Prospects for a Stronger Recovery,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Society of Government Economists and the National Economists Club,"Washington, D.C.",0,0,0
Speech,bernanke20130518a.pdf,2013-05-18,Economic Prospects for the Long Run,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Bard College at Simon’s Rock,"Great Barrington, Massachusetts",0,0,0
Testimony,bernanke20130522a.pdf,2013-05-22,The Economic Outlook,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,bernanke20130602a.pdf,2013-06-02,The Ten Suggestions,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,"Baccalaureate Ceremony, Princeton University","Princeton, New Jersey",0,0,0
Speech,yellen20130602a.pdf,2013-06-02,Regulatory Landscapes: A U.S. Perspective,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,International Monetary Conference,"Shanghai, China",0,0,0
Speech,raskin20130606a.pdf,2013-06-06,Let’s Move Forward: The Case for Timely Implementation of Revised Capital Rules,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,"Ohio Bankers Day Columbus, Ohio","Columbus, Ohio",0,0,0
Testimony,vermilyea20130625a.pdf,2013-06-25,Private student loans,Todd Vermilyea,Senior Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20130627a.pdf,2013-06-27,Thoughts on Unconventional Monetary Policy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Bipartisan Policy Center,"Washington, D.C.",0,0,0
Speech,stein20130628a.pdf,2013-06-28,Comments on Monetary Policy,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,"C. Peter McColough Series on International Economics, Council on Foreign Relations","New York, New York",0,0,0
Speech,powell20130702a.pdf,2013-07-02,On the Occasion of the Change of the Head of the Deutsche Bundesbank’s New York Representative Office,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,On the Occasion of the Change of the Head of the Deutsche Bundesbank’s New York Representative Office,"New York, New York",0,0,0
Speech,bernanke20130710a.pdf,2013-07-10,"A Century of U.S. Central Banking: Goals, Frameworks, Accountability",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,A conference sponsored by the National Bureau of Economic Research,"Cambridge, Massachusetts",0,0,0
Testimony,tarullo20130711a.pdf,2013-07-11,Dodd-Frank Implementation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,bernanke20130717a.pdf,2013-07-17,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,raskin20130717a.pdf,2013-07-17,Beyond Capital: The Case for a Harmonized Response to Asset Bubbles,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,The Exchequer Club Luncheon,"Washington, D.C.",0,0,0
Speech,tarullo20130920a.pdf,2013-09-20,Macroprudential Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Yale Law School Conference on Challenges in Global Financial Services,"New Haven, Connecticut",0,0,0
Speech,stein20130926a.pdf,2013-09-26,Yield-Oriented Investors and the Monetary Transmission Mechanism,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,"“Banking, Liquidity and Monetary Policy” a Symposium Sponsored by the Center for Financial Studies in Honor of Raghuram Rajan","Frankfurt, Germany",0,0,0
Speech,bernanke20131002a.pdf,2013-10-02,“Community Banking in the 21st Century” a Conference Co-sponsored by the Federal Reserve System and the Conference of State Bank Supervisors,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“Community Banking in the 21st Century” a Conference Co-sponsored by the Federal Reserve System and the Conference of State Bank Supervisors,"St. Louis, Missouri",0,0,0
Speech,powell20131003a.pdf,2013-10-03,Community Banking: Connecting Research and Policy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve/Conference of State Bank Supervisors Community Banking Research Conference,"St. Louis, Missouri",0,0,0
Speech,stein20131004a.pdf,2013-10-04,The Fire-Sales Problem and Securities Financing Transactions,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of New York Workshop on Fire Sales as a Driver of Systemic Risk in Triparty Repo and other Secured Funding Markets,"New York, New York",0,0,0
Speech,powell20131011a.pdf,2013-10-11,Communications Challenges and Quantitative Easing,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,2013 Institute of International Finance Annual Membership Meeting,"Washington, D.C.",0,0,0
Speech,bernanke20131014a.pdf,2013-10-14,Celebrating 20 Years of the Bank of Mexico’s Independence,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,"“Central Bank Independence--Progress and Challenges,” a Conference Sponsored by the Bank of Mexico","Mexico City, Mexico",0,0,0
Speech,stein20131018a.pdf,2013-10-18,"Lean, Clean, and In-Between",Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,National Bureau of Economic Research Conference: Lessons from the Financial Crisis for Monetary Policy,"Boston, Massachusetts",0,0,0
Speech,tarullo20131018a.pdf,2013-10-18,Toward Building a More Effective Resolution Regime: Progress and Challenges,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Federal Reserve Board and Federal Reserve Bank of Richmond Conference, “Planning for the Orderly Resolution of a Global Systemically Important Bank”","Washington, D.C.",0,0,0
Speech,powell20131104a.pdf,2013-11-04,Advanced Economy Monetary Policy and Emerging Market Economies,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of San Francisco 2013 Asia Economic Policy Conference: Prospects for Asia and the Global Economy,"San Francisco, California",0,0,0
Speech,stein20131107a.pdf,2013-11-07,The Fire-Sales Problem and Securities Financing Transactions,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago and International Monetary Fund Conference “Shadow Banking Within and Across National Borders” Chicago,"Chicago, Illinois",0,0,0
Speech,bernanke20131108a.pdf,2013-11-08,The Crisis as a Classic Financial Panic,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Fourteenth Jacques Polak Annual Research Conference Sponsored by the International Monetary Fund,"Washington, D.C.",0,0,0
Speech,bernanke20131113a.pdf,2013-11-13,Teaching and Learning about the Federal Reserve,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,A Teacher Town Hall Meeting: 100 Years of the Federal Reserve,"Washington, D.C.",0,0,0
Speech,bernanke20131114a.pdf,2013-11-14,40th Anniversary of the Annual Conference of the Union of Arab Banks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Conference of the Union of Arab Banks on the Occasion of its 40th Anniversary,"Beirut, Lebanon",0,0,0
Testimony,yellen20131114a.pdf,2013-11-14,Confirmation hearing,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20131119a.pdf,2013-11-19,Communication and Monetary Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,National Economists Club Annual Dinner Herbert Stein Memorial Lecture,"Washington, D.C.",0,0,0
Speech,powell20131121a1.pdf,2013-11-21,OTC Market Infrastructure Reform: Opportunities and Challenges,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Clearing House 2013 Annual Meeting,"New York, New York",0,0,0
Speech,tarullo20131122a.pdf,2013-11-22,Shadow Banking and Systemic Risk Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Americans for Financial Reform and Economic Policy Institute Conference,"Washington, D.C.",0,0,0
Speech,bernanke20131216a.pdf,2013-12-16,Opening Remarks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Ceremony Commemorating the Centennial of the Federal Reserve Act,"Washington, D.C.",0,0,0
Speech,bernanke20131216b.pdf,2013-12-16,Concluding Remarks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Ceremony Commemorating the Centennial of the Federal Reserve Act,"Washington, D.C.",0,0,0
Speech,bernanke20140103a.pdf,2014-01-03,"The Federal Reserve: Looking Back, Looking Forward",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Meeting of the American Economic Association,"Philadelphia, Pennsylvania",0,0,0
Speech,stein20140103a.pdf,2014-01-03,Banks as Patient Debt Investors,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,American Economic Association/American Finance Association Joint Luncheon,"Philadelphia, Pennsylvania",0,0,0
Testimony,gibson20140115a.pdf,2014-01-15,Physical Commodities,Michael S. Gibson,Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Protection,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,tarullo20140205a.pdf,2014-02-05,Volcker Rule,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,tarullo20140206a.pdf,2014-02-06,Dodd-Frank Implementation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,yellen20140211a.pdf,2014-02-11,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20140225a.pdf,2014-02-25,Monetary Policy and Financial Stability,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,30th Annual National Association for Business Economics Economic Policy Conference,"Arlington, Virginia",0,0,0
Speech,stein20140228a.pdf,2014-02-28,"Comments on “Market Tantrums and Monetary Policy,” a paper by Michael Feroli, Anil K. Kashyap, Kermit Schoenholtz, and Hyun Song Shin",Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,"2014 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business","New York, New York",0,0,0
Speech,yellen20140305a.pdf,2014-03-05,Chair Janet Yellen's remarks at the ceremonial swearing-in,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Ceremonial Swearing-In Atrium Federal Reserve Board,"Washington, D.C.",0,0,0
Testimony,powell20140313a1.pdf,2014-03-13,Nomination hearing,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,stein20140321a.pdf,2014-03-21,Incorporating Financial Stability Considerations into a Monetary Policy Framework,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,"International Research Forum on Monetary Policy Sponsored by the European Central Bank, the Federal Reserve Board, the Center for Financial Studies at the Goethe University, and the Georgetown Center for Economic Research at Georgetown University","Washington, D.C.",0,0,0
Speech,stein20140324a.pdf,2014-03-24,Welcoming Remarks,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Crowdfunding for Community Development Finance Conference,"Washington, D.C.",0,0,0
Speech,yellen20140325a.pdf,2014-03-25,Chair Janet Yellen's remarks at Women’s History Month Reception,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Women’s History Month Reception U.S. Capitol Washington D.C.,"Washington, D.C.",0,0,0
Speech,tarullo20140327a.pdf,2014-03-27,Regulating Large Foreign Banking Organizations,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Harvard Law School Symposium on Building the Financial System of the Twenty-first Century: An Agenda for Europe and the United States Armonk, N.Y.","Armonk, New York",0,0,0
Speech,yellen20140331a.pdf,2014-03-31,What the Federal Reserve Is Doing to Promote a Stronger Job Market,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,2014 National Interagency Community Reinvestment Conference,"Chicago, Illinois",0,0,0
Testimony,alvarez20140408a.pdf,2014-04-08,Regulatory Rulemakings,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20140409a.pdf,2014-04-09,Longer-Term Challenges for the American Economy,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,At the 23rd Annual Hyman P. Minsky Conference: Stabilizing Financial Systems for Growth and Full Employment,"Washington, D.C.",0,0,0
Speech,yellen20140415a.pdf,2014-04-15,Opening Remarks by Chair Yellen at the Federal Reserve Bank of Atlanta Conference: 2014 Financial Markets Conference,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Atlanta Conference: 2014 Financial Markets Conference,"Atlanta, Georgia",0,0,0
Speech,yellen20140416a.pdf,2014-04-16,Monetary Policy and the Economic Recovery,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"Economic Club of New York New York, New York","New York, New York",0,0,0
Speech,yellen20140501a.pdf,2014-05-01,Tailored Supervision of Community Banks,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"Independent Community Bankers of America 2014 Washington Policy Summit Washington, D.C.","Washington, D.C.",0,0,0
Speech,stein20140506a.pdf,2014-05-06,Challenges for Monetary Policy Communication,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
Testimony,yellen20140507a.pdf,2014-05-07,The Economic Outlook,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,tarullo20140508a.pdf,2014-05-08,Rethinking the Aims of Prudential Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago Bank Structure Conference,"Chicago, Illinois",0,0,0
Speech,yellen20140515a.pdf,2014-05-15,Small Businesses and the Recovery,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,National Small Business Week Event U.S. Chamber of Commerce,"Washington, D.C.",0,0,0
Speech,yellen20140521a.pdf,2014-05-21,Commencement Remarks at New York University,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,New York University’s 2014 Commencement,"New York, New York",0,0,0
Speech,powell2014606a.pdf,2014-06-06,A Conversation on Central Banking Issues,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,2014 Spring Membership Meeting Institute for International Finance,"London, United Kingdom",0,0,0
Speech,tarullo20140609a.pdf,2014-06-09,Corporate Governance and Prudential Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Association of American Law Schools Midyear Meeting,"Washington, D.C.",0,0,0
Testimony,roseman20140611a.pdf,2014-06-11,Statement for the Record on currency developments and management of coin distribution,Louise L. Roseman,Director Division of Reserve Bank Operations and Payment Systems Board of Governors of the Federal Reserve System,0,0,Subcommittee on Monetary Policy and Trade,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20140625a.pdf,2014-06-25,Stress Testing after Five Years,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Third Annual Stress Test Modeling Symposium,"Boston, Massachusetts",0,0,0
Speech,yellen20140702a.pdf,2014-07-02,Monetary Policy and Financial Stability,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"2014 Michel Camdessus Central Banking Lecture, International Monetary Fund","Washington, D.C.",0,0,0
Speech,fischer20140710a.pdf,2014-07-10,Speech by Vice Chairman Stanley Fischer on Financial Sector Reform,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"Martin Feldstein Lecture, National Bureau of Economic Research","Cambridge, Massachusetts",0,0,0
Testimony,alvarez20140715a.pdf,2014-07-15,Department of Justice's Operation Choke Point,Scott G. Alvarez and Thomas C. Baxter Jr.,General Counsel Board of Governors of the Federal Reserve System and General Counsel Board of Governors of the Federal Reserve Bank of New York,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,yellen20140715a.pdf,2014-07-15,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,fischer20140811a.pdf,2014-08-11,The Great Recession: Moving Ahead,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,a Conference Sponsored by the Swedish Ministry of Finance,"Stockholm, Sweden",0,0,0
Speech,yellen20140822a.pdf,2014-08-22,Labor Market Dynamics and Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Economic Symposium,"Jackson Hole, Wyoming",0,0,0
Speech,powell20140904a.pdf,2014-09-04,Reforming U.S. Dollar LIBOR: The Path Forward,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
Testimony,tarullo20140909a.pdf,2014-09-09,Dodd-Frank Implementation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,hunter20140916a.pdf,2014-09-16,Community Banking,Maryann F. Hunter,"Deputy Director, Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System",0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,yellen20140918a.pdf,2014-09-18,Chair Yellen's remarks at 2014 Assets Learning Conference of the Corporation for Enterprise Development,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,2014 Assets Learning Conference of the Corporation for Enterprise Development,"Washington, D.C.",0,0,0
Speech,powell20140923a.pdf,2014-09-23,Federal Reserve/Conference of State Bank Supervisors Community Banking Research Conference,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve/Conference of State Bank Supervisors Community Banking Research Conference,"St. Louis, Missouri",0,0,0
Speech,powell20140930a.pdf,2014-09-30,"Remarks on the Paper “Government Debt Management at the Zero Lower Bound,” by Robin Greenwood, Samuel G. Hanson, Joshua S. Rudolph, and Lawrence Summers",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Panel Discussion: “Debt Management in an Era of Quantitative Easing: What Should the Treasury and the Fed Do?” Brookings Institution,"Washington, D.C.",0,0,0
Speech,fischer20141011a.pdf,2014-10-11,The Federal Reserve and the Global Economy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System," Per Jacobsson Foundation Lecture, 2014 Annual Meetings of the International Monetary Fund and the World Bank Group","Washington, D.C.",0,0,0
Speech,yellen20141017a.pdf,2014-10-17,Perspectives on Inequality and Opportunity from the Survey of Consumer Finances,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Conference on Economic Opportunity and Inequality Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,powell20141020a.pdf,2014-10-20,Webinar on Community Banking,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Webinar on Community Banking,"Washington, D.C.",0,0,0
Speech,tarullo20141020a.pdf,2014-10-20,"Good Compliance, Not Mere Compliance",Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Federal Reserve Bank of New York Conference, ""Reforming Culture and Behavior in the Financial Services Industry""","New York, New York",0,0,0
Speech,yellen20141030a.pdf,2014-10-30,Welcoming Remarks by Chair Janet L. Yellen at  National Summit on Diversity in the Economics Profession,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,“National Summit on Diversity in the Economics Profession” A Conference Sponsored by the American Economic Association and the Board of Governors of the Federal Reserve System,"Washington, D.C.",0,0,0
Speech,powell20141106a.pdf,2014-11-06,A Financial System Perspective on Central Clearing of Derivatives,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,17th Annual International Banking Conference Sponsored by the Federal Reserve Bank of Chicago and the Bank of England,"Chicago, Illinois",0,0,0
Speech,tarullo20141107a.pdf,2014-11-07,A Tiered Approach to Regulation and Supervision of Community Banks,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Community Bankers Symposium,"Chicago, Illinois",0,0,0
Speech,yellen20141107a.pdf,2014-11-07,Panel Discussion on “Shaping the Future of the Macroeconomic Policy Mix”,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Central Banking: The Way Forward?” International Symposium of the Banque de France Paris, France","Paris, France",0,0,0
Speech,powell20141114a.pdf,2014-11-14,"Monetary Policy Accommodation, Risk-Taking, and Spillovers",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"“Global Research Forum on International Macroeconomics and Finance” Sponsored by the European Central Bank, the Federal Reserve Board, and the Federal Reserve Bank of New York","Washington, D.C.",0,0,0
Testimony,sullivan20141118a.pdf,2014-11-18,International Insurance Regulation,Thomas Sullivan,Associate Director Board of Governors of the Federal Reserve System,0,0,Subcommittee on Housing and Insurance,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20141120a.pdf,2014-11-20,Liquidity Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Clearing House 2014 Annual Conference,"New York, New York",0,0,0
Testimony,tarullo20141121a.pdf,2014-11-21,Physical Commodities,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,Permanent Subcommittee on Investigations,Committee on Homeland Security and Governmental Affairs,U.S. Senate
Speech,brainard20141202a.pdf,2014-12-02,Opening Remarks,Lael Brainard,Member Board of Governors of the Federal Reserve System,Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting,"Los Angeles, California",0,0,0
Speech,brainard20141203a.pdf,2014-12-03,The Federal Reserve’s Financial Stability Agenda,Lael Brainard,Member Board of Governors of the Federal Reserve System,Hutchins Center on Fiscal and Monetary Policy The Brookings Institution,"Washington, D.C.",0,0,0
Speech,powell20150120a.pdf,2015-01-20,“Comments on the Fair and Effective Markets Review”,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,“Making Markets Fair and Effective for All” Sponsored by The Brookings Institution,"Washington, D.C.",0,0,0
Speech,tarullo20150130a.pdf,2015-01-30,Advancing Macroprudential Policy Objectives,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Office of Financial Research and Financial Stability Oversight Council’s 4th Annual Conference on Evaluating Macroprudential Tools: Complementarities and Conflicts,"Arlington, Virginia",0,0,0
Speech,powell20150204a.pdf,2015-02-04,Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting,"Dallas, Texas",0,0,0
Speech,powell20150209a.pdf,2015-02-09,“Audit the Fed” and Other Proposals,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"Catholic University of America, Columbus School of Law","Washington, D.C.",0,0,0
Testimony,hunter20150210a.pdf,2015-02-10,Community Banks,Maryann F. Hunter,"Deputy Director, Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System",0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
